Process	CPU	Private Bytes	Working Set	PID	Description	Company Name
System Idle Process	87.35	52 K	8 K	0		
System	0.64	156 K	144 K	4		
 Interrupts	0.38	0 K	0 K	n/a	Hardware Interrupts and DPCs	
 smss.exe		448 K	1,236 K	300		
 Memory Compression		32 K	4 K	1416		
csrss.exe	< 0.01	1,660 K	4,908 K	404		
wininit.exe		1,284 K	6,460 K	476		
 services.exe		4,260 K	8,852 K	584		
  svchost.exe		944 K	3,892 K	756	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		9,188 K	24,192 K	776	Host Process for Windows Services	Microsoft Corporation
   ShellExperienceHost.exe	Suspended	24,956 K	72,892 K	4976	Windows Shell Experience Host	Microsoft Corporation
   SearchUI.exe	Suspended	76,300 K	138,432 K	4848	Search and Cortana application	Microsoft Corporation
   RuntimeBroker.exe		4,296 K	22,916 K	4852	Runtime Broker	Microsoft Corporation
   RuntimeBroker.exe		7,468 K	28,480 K	5308	Runtime Broker	Microsoft Corporation
   dllhost.exe		3,980 K	10,676 K	5420	COM Surrogate	Microsoft Corporation
   RuntimeBroker.exe		6,152 K	22,096 K	7120	Runtime Broker	Microsoft Corporation
   ApplicationFrameHost.exe		4,896 K	21,940 K	5416	Application Frame Host	Microsoft Corporation
   SkypeHost.exe	Suspended	4,844 K	296 K	3380	Microsoft Skype	Microsoft Corporation
   RuntimeBroker.exe		1,472 K	1,380 K	7544	Runtime Broker	Microsoft Corporation
   backgroundTaskHost.exe	Suspended	11,208 K	25,060 K	960	Background Task Host	Microsoft Corporation
   smartscreen.exe		16,372 K	30,304 K	5052	Windows Defender SmartScreen	Microsoft Corporation
   dllhost.exe		1,836 K	6,628 K	3364	COM Surrogate	Microsoft Corporation
  svchost.exe		5,512 K	11,380 K	864	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,168 K	7,320 K	904	Host Process for Windows Services	Microsoft Corporation
  svchost.exe	0.01	9,548 K	18,616 K	356	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,560 K	6,572 K	352	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		2,104 K	9,608 K	772	Host Process for Windows Services	Microsoft Corporation
  svchost.exe		1,920 K	11,136 K	820	Host Process for Windows Services	Microsoft Corporation
